code,name,short_name,source,as_of,status,n_items,n_selling
00130001,,피델리티펀드유로,"종목명 접두 최빈값 (점유 4%) — 법인명 아님 | 검수 2026-08-25: 0013xxxx = 역외펀드 운용법인 계열(Fidelity) — 국내 법인 코드 아님, derived 유지",2026-08-22,derived,47,47
00080396,타이거자산운용투자일임(주),타이거,웹 확인 2026-08-25: http://tigerinv.co.kr/ · dealsite.co.kr/articles/143920 (목표달성형 히어로/메가 시리즈),2026-08-22,web_confirmed,47,35
00080195,VIP자산운용(주),VIP,웹 확인 2026-08-25: https://vipasset.co.kr/about · ko.wikipedia VIP자산운용,2026-08-22,web_confirmed,44,34
00040022,프랭클린템플턴투자신탁운용,프랭클린템플턴,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,43,0
00080112,,라이노스,종목명 접두 최빈값 (점유 43%) — 법인명 아님,2026-08-22,derived,42,2
00080003,골든브릿지자산운용,골든브릿지,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,42,4
00080320,라이프자산운용(주),라이프,웹 확인 2026-08-25: https://thevc.kr/lifeassetmanagement · hankyung.com 202311305046i,2026-08-22,web_confirmed,42,37
00080248,타임폴리오자산운용,타임폴리오,금융투자협회 회원사 코드,2026-08-22,confirmed,39,39
00080002,에이케이파트너스자산운용,에이케이파트너스,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,39,1
00080145,지브이에이자산운용(주),GVA,웹 확인 2026-08-25: https://gvaasset.com/ · saramin 지브이에이자산운용(주),2026-08-22,web_confirmed,37,18
00040103,리딩투자증권(주),리딩,"웹 확인 2026-08-25: http://www.leading.co.kr · KIS 신용평가 2025.09 (2017 전문사모집합투자업 등록, 헤지펀드 AUM 7,600억)",2026-08-22,web_confirmed,36,13
00040085,,KOSEF,종목명 접두 최빈값 (점유 11%) — 법인명 아님,2026-08-22,derived,35,0
00080154,,미래에셋CP전용,종목명 접두 최빈값 (점유 11%) — 법인명 아님,2026-08-22,derived,35,0
00080148,보고펀드자산운용(주),보고,웹 확인 2026-08-25: https://www.vogo-fund.com/ · thebell 202509291109289480102665 (보고 VOYAGE 1호),2026-08-22,web_confirmed,34,30
00080026,스팍스자산운용,스팍스,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,34,19
00080091,(주)안다자산운용,안다,웹 확인 2026-08-25: http://www.andaasset.com/ · thevc.kr/andaassetmanagement,2026-08-22,web_confirmed,34,14
00080380,,미래고용보험기금,종목명 접두 최빈값 (점유 6%) — 법인명 아님 | 검수 2026-08-25: 미래고용보험기금·SBI크로스보더·JKL 등 이질 PEF/기금 묶음 — 단일 운용사 아님,2026-08-22,derived,33,31
00080062,이지스자산운용,이지스,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,32,27
00080015,한화자산운용,한화,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,32,0
00080157,와이즈에셋자산운용,와이즈에셋,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,31,0
00080096,,외환단기공사채D,종목명 접두 최빈값 (점유 23%) — 법인명 아님,2026-08-22,derived,30,0
00080174,씨앗자산운용(주),씨앗,웹 확인 2026-08-25: https://thevc.kr/ssiaatassetmanagement · edaily 03995046625797456 (씨앗멀티-仁),2026-08-22,web_confirmed,29,28
00080253,(주)퍼시픽자산운용,퍼시픽,웹 확인 2026-08-25: http://www.pacific-amc.com/ · bizno.net/article/5878600457,2026-08-22,web_confirmed,29,28
00080072,코람코자산운용(주),코람코,"웹 확인 2026-08-25: https://www.koramcofund.co.kr/ (코람코자산신탁 자회사, 사모부동산투자신탁 운용)",2026-08-22,web_confirmed,28,20
99999999,,현대와이즈03사,종목명 접두 최빈값 (점유 15%) — 법인명 아님,2026-08-22,derived,27,0
00080084,캡스톤자산운용(주),캡스톤,웹 확인 2026-08-25: https://www.capstoneam.co.kr/ · bizno.net/article/1208746636,2026-08-22,web_confirmed,26,22
00080156,쿼드자산운용(주),쿼드,웹 확인 2026-08-25: https://www.quadim.com/ · thebell 202207041101044800104328 (코리아 앱솔루트 롱숏),2026-08-22,web_confirmed,26,23
00080104,라임자산운용(주) [2020-12 등록취소·펀드 215개 웰브릿지자산운용 인계],라임,웹 확인 2026-08-25: fsc.go.kr/no010101/74635 (금융위 보도참고 2020-12-02),2026-08-22,web_confirmed,25,10
00080007,골드만삭스자산운용,골드만삭스,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,25,0
00080109,포커스자산운용(주),포커스,웹 확인 http://focusam.co.kr/ (2026-08-25) — Focus Asset Management,2026-08-22,web_confirmed,24,4
00080165,JB자산운용(주),JB,"웹 확인 https://www.jbam.co.kr/ (2026-08-25) — 구 더커자산운용, 2014 JB금융 편입",2026-08-22,web_confirmed,24,5
00080074,,리치먼드전문투자,종목명 접두 최빈값 (점유 54%) — 법인명 아님,2026-08-22,derived,24,2
00080116,(주)더블유자산운용,W코스닥벤처(M,웹 확인 http://w-asset.com/ (2026-08-25) — W코스닥벤처 = 더블유자산운용. 00080394 와 동일 법인 가능 — 코드 중복 사유 미확인,2026-08-22,web_confirmed,22,13
00080208,웰컴자산운용,웰컴,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,22,20
00080131,,더플랫폼,종목명 접두 최빈값 (점유 57%) — 법인명 아님 | 검수 2026-08-25: 더플랫폼 — 플랫폼파트너스자산운용과 동일 여부 미확정,2026-08-22,derived,21,6
00080175,타이거자산운용투자일임(주) [추정 — 타이거대체투자운용(주)와 구분 미확정],타이거,웹 확인 2026-08-25: http://tigerinv.co.kr/ · tigeralt.com; MERIT/CORE 롱숏형은 투자일임 쪽 상품으로 추정,2026-08-22,web_estimated,21,16
00080085,(주)에이아이피자산운용,AIP,웹 확인 https://thevc.kr/aipassetmanagement (2026-08-25) — AIP Asset Management (구 FG자산운용) — 에이아이파트너스와 별개,2026-08-22,web_confirmed,20,8
00080226,비엔비자산운용(주),비엔비,웹 확인 https://lei.bloomberg.com/leis/view/988400MIPEVM2LLUWP86 (2026-08-25) — BNB Asset Management,2026-08-22,web_confirmed,20,6
