code,name,short_name,source,as_of
00020002,한국산업은행,산업은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집),2026-07-11
00020003,중소기업은행,기업은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집),2026-07-11
00020004,국민은행,국민은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집),2026-07-11
00020011,농협은행,농협은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집. 원문 '농협은행㈜'),2026-07-11
00020020,우리은행,우리은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집. 원문 '우리은행㈜'),2026-07-11
00020023,한국스탠다드차타드은행,SC제일은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집. 원문 '주식회사한국스탠다드차타드은행'),2026-07-11
00020027,한국씨티은행,씨티은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집),2026-07-11
00020032,부산은행,부산은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집. 원문 '㈜부산은행'),2026-07-11
00020054,홍콩상하이은행 서울지점,HSBC,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집),2026-07-11
00020055,도이치은행 서울지점,도이치은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집),2026-07-11
00020081,하나은행,하나은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집. 원문 '㈜하나은행'),2026-07-11
00020088,신한은행,신한은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집),2026-07-11
00050004,한국증권금융,증권금융,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집. 원문 '한국증권금융㈜'),2026-07-11
00160005,국민은행,국민은행,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집. 🔶 느슨 패턴 매칭 — B급),2026-07-11
00160006,(미확보 — TIGER일본엔인버스2X 1종목. funddoctor 문서 미수록),,투자설명서 미수록 — ETF 채널 별도,2026-07-11
00160036,NH투자증권,NH투자증권,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집. 원문 'NH투자증권㈜'),2026-07-11
00160037,삼성증권,삼성증권,운용사(더제이자산운용) 공식 상품 페이지 '수탁회사: 삼성증권' 직접 관측(thejasset.com — 2026-08-20 수집. '더제이'는 수탁사명이 아니라 펀드명 접두. 근거: data/external/lookups/trustee_00160037.md),2026-07-11
00016022,미래에셋증권,미래에셋증권,투자설명서(R2) 신탁업자 절 관측(2026-08-18 수집. 원문 '미래에셋증권㈜'. DB raw는 '0016022 ' 7자리+공백),2026-07-11
